PROPLU,Clean Brand,PRONAME,Total Cost 6M,Total Qty 6M,Total Revenue 6M,Selling Price,FC Pct 6M
40002410,TBL,T- 3.5 Deal Dummy,0,1942,6797,3.5,0.00%
40002413,TBL,T- El Classico,28.3947103,59,622.4499999999999,10.549999999999999,4.56%
40002385,TBL,T- Tawouk Herbs Ramadan Delight,22.09109886743599,38,197.6,5.2,11.18%
40002383,TBL,T- Tikka Ramadan Delight,82.44320282009038,67,415.4,6.199999999999999,19.85%
40002340,TBL,T.Deboned Chicken (Half)(Dummy),0,10748,32651.95,3.0379558987718647,0.00%
40002341,TBL,T.Deboned Chicken (Whole)(Dummy),0,6904,30060.350000000002,4.3540483777520285,0.00%
40002342,TBL,T.Deboned Chicken Family Box(Dummy),0,53,853.25,16.099056603773583,0.00%
40002418,TBL,T-1.5 KD Deal,17.043458609210106,132,198,1.5,8.61%
40002439,TBL,Tabboula,346.60499488600004,1520,2280,1.5,15.20%
40002017,TBL,Tabboulah,2351.4688242319,10222,15309.9,1.4977401682645275,15.36%
40002146,TBL,Tabel Tawouk Wrap (Regular),2621.9161180341803,14420,17265.600000000002,1.1973370319001388,15.19%
40002147,TBL,Tabel Tawouk Wrap (Spicy),1748.2860159621,9604,11493.6,1.1967513536026655,15.21%
40002122,TBL,Tabel™ Arayes,0,1149,5.5,0.004786771105308964,0.00%
40002041,TBL,Tabel™ Batata Harra,2874.080012457,8435,13907.85,1.6488263189093064,20.67%
40002022,TBL,Tabel™ Bread,497.09703579999996,9933,2979.2999999999997,0.29993959528843245,16.69%
40002055,TBL,Tabel™ Bread,153.69999999999996,3074,922.2000000000002,0.30000000000000004,16.67%
1648,TBL,Tabel™ Grape Leaves,5500.31030970362,24124,33768,1.3997678660255348,16.29%
40002013,TBL,Tabel™ Hummus,0,569,2.9,0.005096660808435852,0.00%
40002048,TBL,Tabel™ Hummus (With Bread),844.57494746319,3375,5906.25,1.75,14.30%
40002049,TBL,Tabel™ Hummus (Without Bread),930.4919406713161,4654,6748.299999999999,1.4499999999999997,13.79%
40002037,TBL,Tabel™ Sauce,1856.70530378656,7008,10509,1.4995719178082192,17.67%
40002176,TBL,Tabel™ Sauce - 150 Ml,43.41833038725,388,366.7,0.9451030927835051,11.84%
